label,capture_id,source_run_id,node_id,sample_index,timestamp_iso,dataset_split,dbfs,f_peak_acoustic_hz,low_rumble_ratio,band_bass_ratio,band_low_mid_ratio,band_mid_ratio,band_presence_ratio,band_high_ratio,band_bass_peak_hz,band_low_mid_peak_hz,band_mid_peak_hz,band_presence_peak_hz,band_high_peak_hz,dominant_band_ratio,dominant_band_peak_hz,fft_low_ratio,fft_mid_ratio,fft_high_ratio,fft_total_energy
low,capture_20260719201551,capture_20260719201551,node03,17,2026-07-19T20:16:15.269Z,training,-86.92,421.9,0.273121,0.100404,0.280291,0.268468,0.175913,0.174925,46.9,187.5,1593.8,2625,9703.1,0.280291,187.5,0.313032,0.416318,0.27065,0.000492464
low,capture_20260719201551,capture_20260719201551,node04,17,2026-07-19T20:16:15.276Z,training,-86.63,328.1,0.277107,0.242156,0.428581,0.129966,0.094133,0.105163,93.8,328.1,750,2484.4,5906.2,0.428581,328.1,0.322427,0.52433,0.153242,0.001120101
low,capture_20260719201551,capture_20260719201551,node02,17,2026-07-19T20:16:15.282Z,training,-86.69,609.4,0.533414,0.479514,0.093353,0.248241,0.077634,0.101259,46.9,187.5,609.4,2343.8,5718.8,0.479514,46.9,0.538027,0.327426,0.134547,0.000952762
low,capture_20260719201551,capture_20260719201551,node01,18,2026-07-19T20:16:16.242Z,training,-84.52,421.9,0.258358,0.218773,0.436665,0.239306,0.04653,0.058726,46.9,421.9,656.2,2015.6,10500,0.436665,421.9,0.294302,0.630061,0.075636,0.001653357
low,capture_20260719201551,capture_20260719201551,node04,18,2026-07-19T20:16:16.251Z,training,-86.69,281.2,0.53695,0.435405,0.172799,0.170074,0.099911,0.121811,46.9,187.5,515.6,2437.5,5250,0.435405,46.9,0.549802,0.275949,0.174249,0.0008669547
low,capture_20260719201551,capture_20260719201551,node02,18,2026-07-19T20:16:16.310Z,training,-86.68,703.1,0.416796,0.325048,0.173173,0.297111,0.069925,0.134743,46.9,187.5,703.1,3609.4,5109.4,0.325048,46.9,0.418143,0.435027,0.146831,0.0009362454
low,capture_20260719201551,capture_20260719201551,node03,18,2026-07-19T20:16:16.320Z,training,-87.02,281.2,0.576143,0.478645,0.190806,0.151934,0.08457,0.094045,46.9,187.5,562.5,3046.9,6140.6,0.478645,46.9,0.601261,0.26107,0.137669,0.001058625
low,capture_20260719201551,capture_20260719201551,node01,19,2026-07-19T20:16:17.255Z,training,-83.44,375,0.037684,0.030931,0.839091,0.090347,0.021207,0.018424,93.8,375,562.5,2390.6,6000,0.839091,375,0.049208,0.920171,0.03062,0.004747074
low,capture_20260719201551,capture_20260719201551,node04,19,2026-07-19T20:16:17.305Z,training,-86.69,468.8,0.334037,0.207105,0.349904,0.230155,0.099618,0.113218,46.9,187.5,562.5,2062.5,10687.5,0.349904,187.5,0.412327,0.431107,0.156566,0.001043785
low,capture_20260719201551,capture_20260719201551,node02,19,2026-07-19T20:16:17.313Z,training,-87.01,281.2,0.46251,0.346445,0.231897,0.232151,0.077395,0.112112,140.6,187.5,515.6,2484.4,5578.1,0.346445,140.6,0.467842,0.392373,0.139785,0.0008971748
low,capture_20260719201551,capture_20260719201551,node03,19,2026-07-19T20:16:17.315Z,training,-87.1,234.4,0.644173,0.57956,0.185159,0.124469,0.04634,0.064472,46.9,234.4,984.4,2718.8,8250,0.57956,46.9,0.722387,0.199051,0.078562,0.00175246
low,capture_20260719201551,capture_20260719201551,node04,20,2026-07-19T20:16:18.254Z,training,-86.83,375,0.296494,0.270905,0.208761,0.274871,0.123373,0.122089,46.9,375,609.4,3000,5343.8,0.274871,609.4,0.31738,0.485093,0.197527,0.0009323236
low,capture_20260719201551,capture_20260719201551,node01,20,2026-07-19T20:16:18.262Z,training,-83.73,375,0.086924,0.059717,0.73754,0.158888,0.021604,0.022251,46.9,375,796.9,2437.5,10781.2,0.73754,375,0.08834,0.87997,0.03169,0.004400436
low,capture_20260719201551,capture_20260719201551,node03,20,2026-07-19T20:16:18.267Z,training,-87.11,234.4,0.397159,0.291753,0.359357,0.154042,0.096697,0.098151,46.9,234.4,515.6,2250,7359.4,0.359357,234.4,0.535243,0.305791,0.158967,0.0009978298
low,capture_20260719201551,capture_20260719201551,node02,20,2026-07-19T20:16:18.275Z,training,-87.12,562.5,0.339684,0.299407,0.121604,0.318715,0.118299,0.141975,46.9,234.4,562.5,3937.5,9281.2,0.318715,562.5,0.377377,0.428514,0.194109,0.0007425728
low,capture_20260719201551,capture_20260719201551,node01,21,2026-07-19T20:16:19.274Z,training,-83.48,375,0.178375,0.106531,0.562613,0.272878,0.029381,0.028596,140.6,375,796.9,2671.9,9000,0.562613,375,0.214537,0.742819,0.042644,0.003584863
low,capture_20260719201551,capture_20260719201551,node04,21,2026-07-19T20:16:19.279Z,training,-86.84,421.9,0.308855,0.233929,0.359611,0.222851,0.090532,0.093077,93.8,421.9,656.2,2484.4,11109.4,0.359611,421.9,0.3268,0.538412,0.134787,0.0009967295
low,capture_20260719201551,capture_20260719201551,node02,21,2026-07-19T20:16:19.307Z,training,-86.86,234.4,0.504522,0.404723,0.187151,0.219606,0.098903,0.089618,46.9,187.5,656.2,4218.8,10828.1,0.404723,46.9,0.533215,0.321528,0.145257,0.001146737
low,capture_20260719201551,capture_20260719201551,node03,21,2026-07-19T20:16:19.316Z,training,-87.35,234.4,0.302316,0.263963,0.140995,0.344104,0.112516,0.138422,46.9,234.4,796.9,2718.8,5015.6,0.344104,796.9,0.360811,0.44997,0.189218,0.0006946845
low,capture_20260719201551,capture_20260719201551,node04,22,2026-07-19T20:16:20.297Z,training,-86.81,375,0.551133,0.497861,0.163408,0.163623,0.081535,0.093574,46.9,375,937.5,4125,10781.2,0.497861,46.9,0.564014,0.309738,0.126248,0.001063364
