timestamp_iso,request_id,node_id,test_label,seq,i2s_rx_mode,i2s_sample_conversion,effective_sample_rate_hz,sample_rate_ok,audio_read_timeouts,dbfs,db_spl,f_peak_full_hz,f_peak_acoustic_hz,tone_1khz_ratio,tone_1khz_local_ratio,tone_1khz_contrast_db,tone_1khz_contrast_hit,tone_1khz_detected,tone_1khz_peak_hz,room_band_total_energy,band_ratio_sum,low_rumble_ratio,band_sub_ratio,band_bass_ratio,band_low_mid_ratio,band_mid_ratio,band_presence_ratio,band_high_ratio,dominant_band_name,dominant_band_ratio,dominant_band_peak_hz,temp_c,rh_percent,notes
2026-07-05T20:01:32.296Z,capture_20260705200123,node04,low_frequency_test,2,stereo_raw,shift8,47857.41,True,50,-86.41,33.59,46.9,609.4,0.062999,0.183204,-7.37,False,False,984.4,0.001596,1.000001,0.683492,0,0.653709,0.057601,0.154602,0.064753,0.069336,bass,0.653709,46.9,23.97,48.23,
2026-07-05T20:01:33.296Z,capture_20260705200123,node04,low_frequency_test,3,stereo_raw,shift8,47872.0,True,51,-86.56,33.44,93.8,375.0,0.042786,0.251059,-6.0,False,False,890.6,0.001271,1.0,0.586316,0,0.507381,0.216351,0.118683,0.081098,0.076487,bass,0.507381,93.8,23.96,48.21,
2026-07-05T20:01:34.310Z,capture_20260705200123,node04,low_frequency_test,4,stereo_raw,shift8,47904.9,True,56,-86.62,33.38,187.5,281.2,0.044212,0.248664,-6.04,False,False,1031.2,0.001222,1.000001,0.335289,0,0.153396,0.506201,0.168132,0.073495,0.098777,low_mid,0.506201,187.5,23.96,48.21,
2026-07-05T20:01:35.319Z,capture_20260705200123,node04,low_frequency_test,5,stereo_raw,shift8,48128.0,True,53,-86.59,33.41,46.9,796.9,0.052387,0.158652,-8.0,False,False,1031.2,0.00135,1.0,0.603382,0,0.573781,0.090182,0.186283,0.07726,0.072494,bass,0.573781,46.9,23.96,48.28,
2026-07-05T20:01:36.327Z,capture_20260705200123,node04,low_frequency_test,6,stereo_raw,shift8,47905.0,True,48,-86.28,33.72,46.9,234.4,0.066477,0.423163,-3.73,False,False,1078.1,0.001739,1.0,0.666892,0,0.606408,0.159176,0.102773,0.062187,0.069456,bass,0.606408,46.9,23.96,48.28,
2026-07-05T20:01:37.324Z,capture_20260705200123,node04,low_frequency_test,7,stereo_raw,shift8,47904.76,True,59,-86.5,33.5,46.9,234.4,0.064664,0.347844,-4.59,False,False,937.5,0.00139,1.0,0.590473,0,0.534823,0.16535,0.143089,0.068774,0.087964,bass,0.534823,46.9,23.93,48.33,
2026-07-05T20:01:38.330Z,capture_20260705200123,node04,low_frequency_test,8,stereo_raw,shift8,48277.79,True,58,-86.15,33.85,46.9,703.1,0.037803,0.096204,-10.17,False,False,984.4,0.000944,1.0,0.348445,0,0.316779,0.129507,0.332189,0.112066,0.109459,mid,0.332189,703.1,23.93,48.33,
2026-07-05T20:01:39.337Z,capture_20260705200123,node04,low_frequency_test,9,stereo_raw,shift8,48009.71,True,50,-86.66,33.34,93.8,375.0,0.027695,0.199543,-7.0,False,False,937.5,0.001448,1.0,0.547697,0,0.502726,0.24443,0.102814,0.073921,0.076109,bass,0.502726,93.8,23.95,48.33,
2026-07-05T20:01:40.397Z,capture_20260705200123,node04,low_frequency_test,10,stereo_raw,shift8,47904.95,True,62,-86.2,33.8,93.8,328.1,0.062206,0.267685,-5.72,False,False,937.5,0.001412,1.0,0.490995,0,0.466219,0.154003,0.202283,0.086176,0.091319,bass,0.466219,93.8,23.95,48.33,
2026-07-05T20:01:41.348Z,capture_20260705200123,node04,low_frequency_test,11,stereo_raw,shift8,47872.0,True,58,-85.79,34.21,46.9,703.1,0.040328,0.114112,-9.43,False,False,890.6,0.00102,1.000001,0.513108,0,0.40321,0.182664,0.227708,0.094669,0.09175,bass,0.40321,46.9,23.94,48.32,
2026-07-05T20:01:42.346Z,capture_20260705200123,node04,low_frequency_test,12,stereo_raw,shift8,48128.0,True,57,-86.43,33.57,93.8,515.6,0.033601,0.10982,-9.59,False,False,1125.0,0.000663,0.999999,0.250246,0,0.206748,0.1437,0.297131,0.197528,0.154892,mid,0.297131,515.6,23.94,48.32,
2026-07-05T20:01:43.355Z,capture_20260705200123,node04,low_frequency_test,13,stereo_raw,shift8,47904.95,True,50,-86.2,33.8,46.9,234.4,0.13164,0.669711,-1.74,False,True,1078.1,0.001316,1.000001,0.650702,0,0.515571,0.217574,0.14143,0.050832,0.074594,bass,0.515571,46.9,23.92,48.4,
2026-07-05T20:01:44.371Z,capture_20260705200123,node04,low_frequency_test,14,stereo_raw,shift8,47904.95,True,56,-86.22,33.78,46.9,234.4,0.044706,0.147434,-8.31,False,False,890.6,0.001229,1.000001,0.426995,0,0.353429,0.252923,0.232175,0.077654,0.08382,bass,0.353429,46.9,23.92,48.4,
2026-07-05T20:01:45.368Z,capture_20260705200123,node04,low_frequency_test,15,stereo_raw,shift8,48128.0,True,56,-86.54,33.46,93.8,562.5,0.045659,0.1114,-9.53,False,False,984.4,0.001597,1.0,0.459986,0,0.382012,0.195144,0.27302,0.073962,0.075862,bass,0.382012,93.8,23.9,48.44,
2026-07-05T20:01:46.369Z,capture_20260705200123,node04,low_frequency_test,16,stereo_raw,shift8,48600.54,True,47,-86.53,33.47,46.9,375.0,0.099977,0.409414,-3.88,False,False,1031.2,0.001299,1.0,0.390394,0,0.351217,0.243799,0.24201,0.075241,0.087733,bass,0.351217,46.9,23.9,48.44,
2026-07-05T20:01:47.375Z,capture_20260705200123,node04,low_frequency_test,17,stereo_raw,shift8,47552.18,True,58,-85.92,34.08,46.9,328.1,0.078024,0.554374,-2.56,False,False,890.6,0.001515,1.0,0.47807,0,0.442081,0.27583,0.15704,0.060358,0.064691,bass,0.442081,46.9,23.9,48.49,
2026-07-05T20:01:48.378Z,capture_20260705200123,node04,low_frequency_test,18,stereo_raw,shift8,48007.34,True,50,-86.21,33.79,46.9,281.2,0.059588,0.280912,-5.51,False,False,1125.0,0.001276,1.0,0.504976,0,0.479934,0.153231,0.151973,0.119809,0.095053,bass,0.479934,46.9,23.9,48.49,
2026-07-05T20:01:49.378Z,capture_20260705200123,node04,low_frequency_test,19,stereo_raw,shift8,48128.0,True,63,-86.49,33.51,93.8,468.8,0.104378,0.412158,-3.85,False,False,984.4,0.000786,1.0,0.290075,0,0.255471,0.202817,0.302566,0.110733,0.128413,mid,0.302566,515.6,23.89,48.46,
